counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
Cc1cccc(CCCN(C)CCOC(=O)c2ccccc2Nc2ccnc3cc(C(F)(F)F)ccc23)c1,O=C(OCCN1CCCC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,mmp0077_RC_to_RCc1ccccCc1,scaffold-hop,obvious,0.571,0 1 2 3 4 5 6 7 8 9 10 12,521.58,7.03,0.227,38,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(OCCN1CCCC1)c1ccccc1Nc1ccnc2cc(CCc3ccccc3)ccc12,O=C(OCCN1CCCC1)c1ccccc1Nc1ccnc2cc(C(F)(F)F)ccc12,mmp0117_RC_to_RCCc1ccccc1,scaffold-hop,obvious,0.667,2 3 4 5 6 7 8,465.6,6.02,0.307,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(C)C[C@@H]1CCN(c2cccs2)C=CC2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1,mmp0005_Rc1ccccc1_to_Rc1cccs1,scaffold-hop,subtle,0.588,1 2 3 4 5,476.6,3.48,0.587,34,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@H](OCC3CC3)[C@H](O)[C@@H](O)[CH]O[C@@H](OC)c3cccs3)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.419,0 1 2 3 4 5 7 9 10 13 14 19 25 30 31 36 37 38 41 42,699.75,4.19,0.153,49,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN1CCC(c2ccccc2)(c2cccc(O)c2)C1,CCCC1(c2cccc(O)c2)CCN(C)C1,mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.429,1 2 3 4 5 6,253.34,3.01,0.889,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=Cc1cc(C(=O)Nc2ccc(C(=N)N)cc2)c(-c2ccc(C(=O)NCC3CCC3)nc2C(=O)O)cc1OC,C=Cc1cc(C(=O)Nc2ccc(C(=N)N)cc2)c(-c2ccc(C(=O)NCC3CC3)nc2C(=O)O)cc1OC,mmp0118_RCC1CC1_to_RCC1CCC1,scaffold-hop,subtle,0.936,4,527.58,4.16,0.195,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
FC(F)(F)Oc1cccc(CN2CCCCC2)c1,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(Cc2cccc(OC(F)(F)F)c2)CC1,mmp0053_RNCC_to_RN1CCCCC1,scaffold-hop,moderate,0.42,,259.27,3.57,0.822,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C1Nc2ccccc2C(c2cccs2)N1C1CCN(Cc2cccc(OC(F)(F)F)c2)CC1,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(Cc2cccc(OC(F)(F)F)c2)CC1,mmp0005_Rc1ccccc1_to_Rc1cccs1,scaffold-hop,subtle,0.719,5,487.55,6.25,0.463,34,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(CC2CC2)CC1,O=C1Nc2ccccc2C(c2ccccc2)N1C1CCN(Cc2cccc(OC(F)(F)F)c2)CC1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.573,,361.49,4.5,0.87,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Nc1nc([O-])c2ncn(COCC3CC3)c2n1,Nc1nc([O-])c2ncn(COC(CO)CO)c2n1.[Na+],mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.538,2 3 4,234.24,-0.13,0.79,17,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
[O-][S+](c1ccccc1)c1ccc2[nH]c(NCCc3ccccc3)nc2c1,COC(=O)Nc1nc2cc([S+]([O-])c3ccccc3)ccc2[nH]1,mmp0117_RC_to_RCCc1ccccc1,scaffold-hop,obvious,0.526,2 3 4 5 6 7 8,361.47,4.38,0.501,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(C(C#N)(CCCN(C)CCc2cccc(OCC3CC3)c2)C(C)C)cc1OC,COc1cccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)c1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.747,2 3 4,464.65,5.86,0.35,34,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1cccc(CCN(C)CCC2CC2)c1,COc1cccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)c1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.432,2 3 4,233.36,2.97,0.718,17,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(C(C#N)(CCCN(C)CCc2cccs2)C(C)C)cc1OC,COc1cccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)c1,mmp0005_Rc1ccccc1_to_Rc1cccs1,scaffold-hop,subtle,0.624,5,400.59,5.14,0.524,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)=CCC(C(=O)OCc1cccc(Oc2ccccc2)c1)c1ccccc1,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.482,0 1 2 3 4 5 6 7 9 12 14 15,386.49,6.66,0.321,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)C(C(=O)OCc1cccc(Oc2ccccc2)c1)c1ccccc1,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.475,0 1 2 3 4 5 6 8 11 12,360.45,5.96,0.488,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1cc(N2CCC(NCCN(C)CCC3CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.619,0 1 2 3 4 5 6 7 8 9,622.84,4.84,0.216,44,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cccc(CNCCN(C)c2cc(=O)n3nc(-c4cncc(NC(=O)CN)c4)sc3n2)c1,CC(=O)O.NCC(=O)Nc1cncc(-c2nn3c(=O)cc(N4CCNCC4)nc3s2)c1,mmp0077_RC_to_RCc1ccccCc1,scaffold-hop,obvious,0.471,0 1 2 3 4 5 6 7 8 9 10 11 13,478.58,1.64,0.31,34,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(NCC1CCN(CCC2CC2)CC1)c1cc(F)cc(Cl)c1,CC(C)(C)NC(=O)CN1CCC(CNC(=O)c2cc(F)cc(Cl)c2)CC1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.64,2 3 4,338.85,3.72,0.857,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@H](O)CC1=CC[C@H]2[C@@H]3CC[C@H](N(C)CCCN(C)C)[C@@]3(C)CC[C@@H]2[C@@]1(C)CC1CC1,CN(C)CCCN(C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.469,2 3 4 5 11 15 18 19,430.72,5.59,0.483,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C/C(=C\c1ncc([N+](=O)[O-])n1C)c1nnc(-c2ccccc2)s1,CCc1nnc(/C(C)=C/c2ncc([N+](=O)[O-])n2C)s1,mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.568,1 2 3 4 5 6,327.37,3.41,0.541,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(Cc1ccccc1)[C]1OO[C@]2(CC[C@@H](CC(=O)NCC(C)(C)N)CC2)O1,CC(C)(N)CNC(=O)C[C@H]1CC[C@]2(CC1)OO[C@]1(O2)C2CC3CC(C2)CC1C3,mmp0004_RC1CCCCC1_to_Rc1ccccc1,scaffold-hop,subtle,0.4,0 1 2 3 4 5 6 7 9,389.52,3.46,0.698,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@@H](Cc1ccccn1)NC(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1,mmp0032_Rc1ccccc1_to_Rc1ccccn1,scaffold-hop,subtle,0.442,0 1 2 3 4 5 6 7 8 9,357.41,0.29,0.771,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=CCC1CC1)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)C[C@H](O)C1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.688,2 3 4,326.52,6.29,0.569,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3cccs3)c3c(N)ncnc32)C1,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,mmp0005_Rc1ccccc1_to_Rc1cccs1,scaffold-hop,subtle,0.608,5,368.42,1.02,0.681,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@H](CN1CCCCC1)n1c(=O)n(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21,CC#CC(=O)N1CC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,mmp0053_RNCC_to_RN1CCCCC1,scaffold-hop,moderate,0.431,0 1 2 3 4 5 6 7 8,444.54,4.0,0.483,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N3CCN(C)CC3)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@@H]2O[C@H]2[C@]1(O)CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@H]1OC(=O)/C=C/[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](C)C[C@@H](C)C(=O)/C=C/[C@@H]2O[C@H]2[C@]1(O)CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,mmp0021_RNCC_to_RN1CCNCCC1,scaffold-hop,obvious,0.738,1 2 3 4 5 6 7,782.97,1.45,0.226,55,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(=O)N(c1cccs1)C(C)CN1CCCCC1,CCC(=O)N(c1ccccc1)C(C)CN1CCCCC1,mmp0005_Rc1ccccc1_to_Rc1cccs1,scaffold-hop,subtle,0.562,5,280.44,3.37,0.825,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCN(CC1CC1)CC(C)N(C(=O)CC)c1ccccc1,CCC(=O)N(c1ccccc1)C(C)CN1CCCCC1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.413,0 1 2 3 4 6 8 11 14,316.49,4.33,0.641,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)(c1ccccc1)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-],mmp0098_RCCCC_to_Rc1ccccc1,scaffold-hop,moderate,0.69,1 2 3 4 5 6,418.6,5.68,0.294,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(CCN1CCCCC1)c1nnc(-c2nn(C(C)C)c3ccccc23)o1,COCCCN1CCC(c2nnc(-c3nn(C(C)C)c4ccccc34)o2)CC1,mmp0053_RNCC_to_RN1CCCCC1,scaffold-hop,moderate,0.44,0 1 2 3 4 5 6 7 8 10,367.5,4.65,0.635,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1cnc(-n2cnc(C)n2)c2[nH]cc(C(=O)C(=O)N(C)CCN(CCc3ccccc3)C(=O)c3ccccc3)c12,COc1cnc(-n2cnc(C)n2)c2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12,mmp0117_RC_to_RCCc1ccccc1,scaffold-hop,obvious,0.508,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21,565.63,3.49,0.192,42,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
N#Cc1cc(C(=O)c2c(-c3ccccc3)nc3ccccn23)cc(Br)c1O,CCc1nc2ccccn2c1C(=O)c1cc(Br)c(O)c(C#N)c1,mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.61,1 2 3 4 5 6,418.25,4.57,0.495,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccc(O)c(CC2CC2)n1,CCc1nc(C)ccc1O.O=C(O)CCC(=O)O,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.457,2 3 4,163.22,2.05,0.723,12,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cccc(CC[C@H](CC[CH]CCN2CCN(c3cccc(Cl)c3Cl)CC2)NC(=O)N(C)C)c1,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1.Cl,mmp0077_RC_to_RCc1ccccCc1,scaffold-hop,obvious,0.414,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,518.55,6.07,0.367,35,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(C)C(=O)N[C@H]1CC[C@H](CCN(CCN(C)c2cccc(Cl)c2Cl)CC2CC2)CC1,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1.Cl,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.427,0 1 2 3 4 6 8 10 13 14 17 18 20 21 22 24 25,469.5,5.36,0.501,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@@H]1C[C@@H](C[C@H](C)OC(=O)c2c[nH]c3ccccc23)N(CC2CC2)CC1=O,CS(=O)(=O)O.O.O=C(O[C@@H]1C[C@@H]2C[C@H]3C[C@H](C1)N2CC3=O)c1c[nH]c2ccccc12,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.406,0 1 2 3 4 5 6 7 8 9 10 11 12 13 15,368.48,3.79,0.788,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N([CH]C(=O)O)CCCCc1ccccc1,C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)O,mmp0117_RC_to_RCCc1ccccc1,scaffold-hop,obvious,0.41,0 1 2 3 4 5 6 7 8 9 10 12 15 18 19,489.66,4.07,0.405,34,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@H](CSC(=O)[C@@H](C)NC(=O)c1cccs1)C(=O)N1CCC[C@H]1C(=O)O,C[C@H](CSC(=O)[C@@H](C)NC(=O)C1CCCCC1)C(=O)N1CCC[C@H]1C(=O)O,mmp0031_RC1CCCCC1_to_Rc1cccs1,scaffold-hop,subtle,0.565,5,398.51,1.84,0.726,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C1NC(=O)C2=C(CCCC2)C1=Cc1cccs1,O=C1NC(=O)/C(=C\c2ccccc2)C2=C1CCCC2,mmp0005_Rc1ccccc1_to_Rc1cccs1,scaffold-hop,subtle,0.542,5,259.33,2.66,0.622,18,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(c1ccccn1)N1CCN(Cc2cccs2)CC1,O=C(c1ccccn1)N1CCN(Cc2ccccc2)CC1,mmp0027_RCc1ccccc1_to_RCc1cccs1,scaffold-hop,subtle,0.603,6,287.39,2.1,0.867,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCC(CCC1CC1)NC(=O)NS(=O)(=O)c1ccc(CCNC(=O)c2cc(Cl)ccc2OC)cc1,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.627,0 1 2 3 4 5 7 9 12,536.09,4.67,0.345,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)c1ccccc1,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.805,1 2 3 4 5 6,521.47,2.97,0.16,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(Oc1ccccc1)N1CCc2ccccc2[C@@H]1c1ccccc1,O=C(O[C@H]1CN2CCC1CC2)N1CCc2ccccc2[C@@H]1c1ccccc1,mmp0060_RCC_to_Rc1ccccc1,scaffold-hop,obvious,0.573,3,329.4,4.83,0.674,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COCc1c(C(C)C)nc(Cc2cccc(C)c2)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1,mmp0077_RC_to_RCc1ccccCc1,scaffold-hop,obvious,0.646,2 3 4 5 6 7 8,521.63,5.66,0.285,38,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(C)CCN1C(=O)[C@H](OC(=O)c2cccnc2)[C@H](c2cccs2)Sc2ccccc21,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)c2cccnc2)cc1,mmp0071_Rc1cccOCcc1_to_Rc1cccs1,scaffold-hop,moderate,0.69,5,453.59,4.11,0.524,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[S@@+]([O-])CC[C@](CO)(C(=O)O[C@H]1CN2CCC1CC2)c1ccccn1,C[S@@+]([O-])CC[C@](CO)(C(=O)O[C@H]1CN2CCC1CC2)c1ccccc1,mmp0032_Rc1ccccc1_to_Rc1ccccn1,scaffold-hop,subtle,0.633,6,366.48,0.72,0.565,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=S(=O)(c1cccc(F)c1)c1ccc2c(c1)CCC[C@H]2CNCCc1ccccc1,NC(=O)NC[C@@H]1CCCc2cc(S(=O)(=O)c3cccc(F)c3)ccc21,mmp0117_RC_to_RCCc1ccccc1,scaffold-hop,obvious,0.621,2 3 4 5 6 7 8,423.55,4.91,0.549,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)CC4CC4)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1,Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.843,2 3 4,616.69,6.17,0.218,45,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccc(-c2cc([C@@H]3C4CCC(C[C@@H]3c3ccccn3)N4C)on2)cc1,Cc1ccc(-c2cc([C@@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)on2)cc1,mmp0032_Rc1ccccc1_to_Rc1ccccn1,scaffold-hop,subtle,0.628,6,359.47,4.78,0.675,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1ccc(-c2cc([C@@H]3C4CCC(C[C@@H]3c3cccs3)N4C)on2)cc1,Cc1ccc(-c2cc([C@@H]3C4CCC(C[C@@H]3c3ccc(Cl)cc3)N4C)on2)cc1,mmp0005_Rc1ccccc1_to_Rc1cccs1,scaffold-hop,subtle,0.643,5,364.51,5.45,0.619,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)c1cccs1,C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)C1CCCCC1,mmp0031_RC1CCCCC1_to_Rc1cccs1,scaffold-hop,subtle,0.512,5,346.47,2.77,0.669,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(N[C@@H]1C(=O)N(c2ccccc2)[C@@H]1S)[C@H](NC(=O)N1CCN(/N=C/c2ccco2)C1=O)c1ccc(O)cc1,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(/N=C/c4ccco4)C3=O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,mmp0098_RCCCC_to_Rc1ccccc1,scaffold-hop,moderate,0.641,1 2 3 4 5 6 11,548.58,2.3,0.202,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)NCCN(CC3CC3)/N=C/c3ccco3)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCN(/N=C/c4ccco4)C3=O)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,mmp0008_RC_to_RCC1CC1,scaffold-hop,moderate,0.577,0 1 2 3 4 5 6 7 8 9 10 12 13 16 17,598.68,1.7,0.138,42,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cccc(CNC[C@H](O)COc2ccccc2-c2cccs2)c1,CC(C)(Cc1ccc(Oc2ncccc2C#N)cc1)NC[C@H](O)COc1ccccc1-c1cccs1,mmp0077_RC_to_RCc1ccccCc1,scaffold-hop,obvious,0.414,2 3 4 5 6 7 8,353.49,4.25,0.636,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@H]1CCc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C[C@H]1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,mmp0021_RNCC_to_RN1CCNCCC1,scaffold-hop,obvious,0.763,4 5,359.4,2.1,0.89,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
