counterfeit_smiles,parent_smiles,rule_name,category,difficulty,similarity_to_parent,edited_atoms,mw,logp,qed,heavy_atoms,citation
C=CCCN(CC)S(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4cnc(C5CC5)nc4)cc23)c1F,O=C(c1c(F)ccc(NS(=O)(=O)N2CC[C@@H](F)C2)c1F)c1c[nH]c2ncc(-c3cnc(C4CC4)nc3)cc12,mmp0019_RC_to_RCCeqC,bioisostere,moderate,0.64,0 1 2 3 4 6 10,552.61,4.96,0.2,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(c1c(F)ccc(NS(=O)(=O)NCCO)c1F)c1c[nH]c2ncc(-c3cnc(C4CC4)nc3)cc12,O=C(c1c(F)ccc(NS(=O)(=O)N2CC[C@@H](F)C2)c1F)c1c[nH]c2ncc(-c3cnc(C4CC4)nc3)cc12,mmp0067_RNCCCC_to_RNCCO,bioisostere,subtle,0.686,1 2 3 4,514.51,2.65,0.251,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc(C2=N[C@@H](CC(=O)NCCCN3CCN(C)CC3)c3nnc(C)n3-c3sc(C)c(C)c32)cc1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCN1CCN(C)CC1)c1nnc(C)n1-2,mmp0046_RCl_to_ROC,bioisostere,subtle,0.833,1 2,535.72,3.3,0.446,38,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCSc1ccc(C2=N[C@@H](CC(=O)NCCCN3CCN(C)CC3)c3nnc(C)n3-c3sc(C)c(C)c32)cc1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCN1CCN(C)CC1)c1nnc(C)n1-2,mmp0089_RCl_to_RSCC,bioisostere,moderate,0.81,1 2 3,565.81,4.4,0.306,39,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CCO)CCCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCN1CCN(C)CC1)c1nnc(C)n1-2,mmp0020_RNCCCC_to_RNCCCCO,bioisostere,subtle,0.682,1 2 3 4 5 6,529.11,4.01,0.388,36,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CCOP(=O)(O)O,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,mmp0050_RCO_to_RCOPeqOOO,bioisostere,obvious,0.741,3 4 5 6,415.86,3.9,0.479,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,mmp0099_RCC_to_RCCeqC,bioisostere,subtle,0.766,3,347.89,3.95,0.639,24,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(CCOCCO)c1cn(Cc2ccc(F)cc2)c2ccc(O)cc12,O=C(Nc1c(Cl)cncc1Cl)C(=O)c1cn(Cc2ccc(F)cc2)c2ccc(O)cc12,mmp0026_RC_to_RCCOCCO,bioisostere,obvious,0.495,2 3 4 5 6,357.38,3.12,0.48,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
OCCc1cn(Cc2ccc(F)cc2)c2ccc(O)cc12,O=C(Nc1c(Cl)cncc1Cl)C(=O)c1cn(Cc2ccc(F)cc2)c2ccc(O)cc12,mmp0014_RCC_to_RCCO,bioisostere,subtle,0.437,3,285.32,3.07,0.774,21,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(NCCN1CCC(n2c(=O)[nH]c3cc(O)ccc32)CC1)c1ccc(F)cc1,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,mmp0034_RCl_to_RO,bioisostere,subtle,0.765,1,398.44,2.24,0.615,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=P(O)(O)OCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,mmp0003_RO_to_ROPeqOOO,bioisostere,obvious,0.619,2 3 4 5,412.37,2.78,0.682,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)OC(=O)COCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,mmp0018_RO_to_ROCCeqO,bioisostere,moderate,0.708,2 3 4,432.47,2.78,0.363,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)Oc1ccc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)cc1C,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)O,mmp0018_RO_to_ROCCeqO,bioisostere,moderate,0.765,4,455.5,6.8,0.184,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)OP(=O)(O)O,Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3F)nc2C)ccc1OC(C)(C)C(=O)O,mmp0003_RO_to_ROPeqOOO,bioisostere,obvious,0.778,2 3 4 5,579.53,6.67,0.173,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1c(OC)cccc1C(=O)NN(C(=O)c1cc(C)cc(C)c1)[C@H](CO)C(C)(C)C,CCC[C@@H](N(NC(=O)c1cccc(OC)c1CC)C(=O)c1cc(C)cc(C)c1)C(C)(C)C,mmp0097_RC_to_RO,bioisostere,subtle,0.816,1,426.56,4.07,0.683,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1c(OC)cccc1C(=O)NN(C(=O)c1cc(C)cc(C)c1)[C@H](CCCCN(CC)CC)C(C)(C)C,CCC[C@@H](N(NC(=O)c1cccc(OC)c1CC)C(=O)c1cc(C)cc(C)c1)C(C)(C)C,mmp0074_RC_to_RCCNCCCC,bioisostere,obvious,0.765,2 3 4 5 6 7,523.76,6.59,0.252,38,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CCOP(=O)(O)O)CCC1CN(CC)C(=O)C1(c1ccccc1)c1ccccc1,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O.Cl.O,mmp0003_RO_to_ROPeqOOO,bioisostere,obvious,0.448,0 1 2 3 4 5 6 7 9 11,460.51,3.27,0.501,32,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CCCN(CCO)CCC1CN(CC)C(=O)C1(c1ccccc1)c1ccccc1,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O.Cl.O,mmp0019_RC_to_RCCeqC,bioisostere,moderate,0.453,0 1 2 3 4 6 8 10,406.57,3.71,0.579,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CCC(O)CCN(C)CC(C)CN1c2ccccc2Sc2ccc(OC)cc21,COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2,mmp0019_RC_to_RCCeqC,bioisostere,moderate,0.51,0 1 2 3 4 5 6 7 9,412.6,5.19,0.543,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc2c(c1)N(CC(C)CN(CCO)CCC(C)O)c1ccccc1S2,COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2,mmp0015_RC_to_RCCO,bioisostere,moderate,0.532,0 1 2 3 5 7 10 12 13,416.59,4.0,0.611,29,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COc1ccc2c(c1)N(CC(C)CN(CCO)CCCO)c1ccccc1S2,COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2,mmp0014_RCC_to_RCCO,bioisostere,subtle,0.543,0 1 2 3 5 7 10 12,402.56,3.61,0.633,28,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@@H](OP(=O)(O)O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12,Br.C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12,mmp0003_RO_to_ROPeqOOO,bioisostere,obvious,0.768,2 3 4 5,577.62,1.78,0.187,37,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOP(=O)(O)O)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12,Br.C[C@@H](O)[C@H]1C(=O)N2C(C(=O)OCOC(=O)C(C)(C)C)=C(SC3CN(C4=NCCS4)C3)[C@H](C)[C@H]12,mmp0050_RCO_to_RCOPeqOOO,bioisostere,obvious,0.747,3 4 5 6,493.5,0.19,0.193,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(=O)OCC(C)Oc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,CC(C)Oc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,mmp0102_RC_to_RCOCCeqO,bioisostere,obvious,0.864,2 3 4 5,654.63,5.77,0.178,48,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CSc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,CC(C)Oc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,mmp0085_ROC_to_RSC,bioisostere,subtle,0.769,1 2,584.61,6.16,0.218,42,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(CO)Oc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,CC(C)Oc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,mmp0058_RC_to_RCO,bioisostere,subtle,0.895,2,612.59,5.2,0.204,45,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CON(CCN(C)C)c1ccccn1,CN(C)CCN(Cc1ccccc1)c1ccccn1,mmp0064_RC_to_ROC,bioisostere,subtle,0.411,1 2,195.27,1.01,0.656,14,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(C)CCON(Cc1ccccc1)c1ccccn1,CN(C)CCN(Cc1ccccc1)c1ccccn1,mmp0033_RCCNCC_to_ROCCNCC,bioisostere,subtle,0.492,1 2 3 4 5 6,271.36,2.58,0.724,20,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
ClNCCN1CCN(c2ncccn2)CC1,O=C(NCCN1CCN(c2ncccn2)CC1)C12CC3CC(CC(C3)C1)C2,mmp0130_RCCeqO_to_RCl,bioisostere,moderate,0.492,1,241.73,0.34,0.771,16,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=P(O)(O)OC(c1ccc(Cl)cc1)c1ccccn1,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,mmp0003_RO_to_ROPeqOOO,bioisostere,obvious,0.465,2 3 4 5,299.65,2.93,0.849,19,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(CCOCCO)CCOC(c1ccc(Cl)cc1)c1ccccn1,CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)/C=C\C(=O)O,mmp0026_RC_to_RCCOCCO,bioisostere,obvious,0.608,2 3 4 5 6,364.87,2.78,0.621,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COCCN(CO)C(=O)[C@@H]1C[C@H](N(C(=O)C(C)C)[C@H]2CC[C@@H](C)CC2)CN1C(=O)[C@@H]1CCN(C(C)(C)C)[C@H]1c1ccc(Cl)cc1,CC(C)C(=O)N([C@H]1C[C@@H](C(=O)N2CCOCC2)N(C(=O)[C@@H]2CCN(C(C)(C)C)[C@H]2c2ccc(Cl)cc2)C1)[C@H]1CC[C@@H](C)CC1,mmp0058_RC_to_RCO,bioisostere,subtle,0.655,0 1 2 4 7 10 14,647.3,4.96,0.361,45,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCSc1ccc([C@H]2[C@H](C(=O)N3C[C@@H](N(C(=O)C(C)C)[C@H]4CC[C@@H](C)CC4)C[C@H]3C(=O)N3CCOCC3)CCN2C(C)(C)C)cc1,CC(C)C(=O)N([C@H]1C[C@@H](C(=O)N2CCOCC2)N(C(=O)[C@@H]2CCN(C(C)(C)C)[C@H]2c2ccc(Cl)cc2)C1)[C@H]1CC[C@@H](C)CC1,mmp0089_RCl_to_RSCC,bioisostere,moderate,0.79,1 2 3,654.96,5.85,0.328,46,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
COCCN(CCOCCO)C(=O)[C@@H]1C[C@H](N(C(=O)C(C)C)[C@H]2CC[C@@H](C)CC2)CN1C(=O)[C@@H]1CCN(C(C)(C)C)[C@H]1c1ccc(Cl)cc1,CC(C)C(=O)N([C@H]1C[C@@H](C(=O)N2CCOCC2)N(C(=O)[C@@H]2CCN(C(C)(C)C)[C@H]2c2ccc(Cl)cc2)C1)[C@H]1CC[C@@H](C)CC1,mmp0026_RC_to_RCCOCCO,bioisostere,obvious,0.612,0 1 2 3 4 5 6 8 11 14 18,705.38,5.02,0.272,49,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CCC(=O)N([C@H]1C[C@@H](C(=O)N2CCOCC2)N(C(=O)[C@@H]2CCN(C(C)(C)C)[C@H]2c2ccc(Cl)cc2)C1)[C@H]1CC[C@@H](C)CC1,CC(C)C(=O)N([C@H]1C[C@@H](C(=O)N2CCOCC2)N(C(=O)[C@@H]2CCN(C(C)(C)C)[C@H]2c2ccc(Cl)cc2)C1)[C@H]1CC[C@@H](C)CC1,mmp0019_RC_to_RCCeqC,bioisostere,moderate,0.771,3,627.27,5.31,0.384,44,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C[C@H](CN(C)C)[C@](Cc1ccccc1)(OP(=O)(O)O)c1ccccc1,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C.Cl,mmp0003_RO_to_ROPeqOOO,bioisostere,obvious,0.567,2 3 4 5,363.39,3.43,0.703,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CN(CCO)S(=O)(=O)Nc1ccc(F)c(Nc2ccc3ncn(C)c(=O)c3c2Cl)c1Cl,Cn1cnc2ccc(Nc3c(F)ccc(NS(=O)(=O)N4CC(F)C4)c3Cl)c(Cl)c2c1=O,mmp0058_RC_to_RCO,bioisostere,subtle,0.628,0 1 2 3 5,490.34,2.7,0.469,31,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
O=C(O)COCCN/N=C/C=C/c1cccn1-c1ccccc1[N+](=O)[O-],N=C(N)N/N=C/C=C/c1cccn1-c1ccccc1[N+](=O)[O-],mmp0078_RC_to_RCCOCCeqOO,bioisostere,obvious,0.588,2 3 4 5 6 7,358.35,2.08,0.29,26,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCCCC(COC)NC(=O)NS(=O)(=O)c1ccc(CCNC(=O)N(C)c2ccccn2)cc1,CC1CCC(NC(=O)NS(=O)(=O)c2ccc(CCNC(=O)N(C)c3ccccn3)cc2)CC1,mmp0064_RC_to_ROC,bioisostere,subtle,0.574,0 1 2 3 4 6 8 11,491.61,2.66,0.419,34,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCC(CCCO)NC(=O)NS(=O)(=O)c1ccc(CCNC(=O)N(C)c2ccccn2)cc1,CC1CCC(NC(=O)NS(=O)(=O)c2ccc(CCNC(=O)N(C)c3ccccn3)cc2)CC1,mmp0014_RCC_to_RCCO,bioisostere,subtle,0.598,0 1 2 3 4 5 7,477.59,2.01,0.39,33,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCc1oc2ccccc2c1C(=O)c1ccc(OC(C)=O)cc1,CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1,mmp0018_RO_to_ROCCeqO,bioisostere,moderate,0.695,2 3 4,308.33,4.15,0.413,23,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CCN(CCCOC)CCOc1c2occc2c(O)c2c(=O)cc(C)oc12,CCN(CC)CCOc1c2occc2c(O)c2c(=O)cc(C)oc12,mmp0120_RC_to_RCCOC,bioisostere,moderate,0.795,2 3 4,375.42,3.29,0.574,27,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
C=CCN(CC)CCOc1c2occc2c(O)c2c(=O)cc(C)oc12,CCN(CC)CCOc1c2occc2c(O)c2c(=O)cc(C)oc12,mmp0099_RCC_to_RCCeqC,bioisostere,subtle,0.816,3,343.38,3.44,0.662,25,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C(COP(=O)(O)O)=C(C=O)CC[C@@]13C)[C@@H]2O,CC(C)[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,mmp0003_RO_to_ROPeqOOO,bioisostere,obvious,0.48,0 1 2 3 4 5 12 17,442.4,0.85,0.321,30,mmpdb-mined(authentic@intelligent_pharma_50k_v2.pt)
