counterfeit_smiles,parent_smiles,category,similarity_to_parent,qed,sa_score,p_counterfeit,n_edited_atoms,edited_atoms
CCCc1cc2c(s1)Nc1ccccc1N=C2C,Cc1cc2c(s1)Nc1ccccc1N=C2N,evolved,0.423,0.812,2.8,,3,0 1 17
NC1=Nc2ccccc2Nc2sc(-c3ccccc3)cc21,Cc1cc2c(s1)Nc1ccccc1N=C2N,evolved,0.594,0.693,2.58,,6,13 14 15 16 17 18
CN(CCO)c1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2C,CN(C)c1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2C,evolved,0.446,0.935,2.44,,2,3 4
CC(C)c1ccc(-c2ccccc2-c2nn[nH]n2)cc1,CCC(C)c1nc(C(=O)O)c(C(c2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C(F)(F)F)[nH]1,evolved,0.476,0.785,1.94,,1,2
CCCc1ccc2c(c1)C(c1ccccc1F)=NCC(=O)N2,O=C1CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N1,evolved,0.579,0.924,2.33,,3,0 1 2
O=C1CN=C(c2ccccc2F)c2cc(CCF)ccc2N1,O=C1CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N1,evolved,0.587,0.929,2.54,,3,15 16 17
Cc1ccc2c(c1)C(c1ccccc1F)=NCC(=O)N2,O=C1CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N1,evolved,0.629,0.849,2.26,,1,0
O=C1CN=C(c2ccccc2F)c2cc(CCc3ccccc3)ccc2N1,O=C1CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc2N1,evolved,0.55,0.738,2.25,,8,15 16 17 18 19 20 21 22
CCCSC1=C(C(=O)O)N2C(=O)C([C@@H](C)O)C2[C@H]1C,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CN4CCOS4(=O)=O)C3)[C@H](C)C12,evolved,0.404,0.744,3.8,,3,0 1 2
O=C(Cc1ccccc1)N1CCN(c2ccc(O)cc2)CC1,O=C(CCc1ccccc1)N1CCN(c2ccc(F)cc2)CC1,evolved,0.485,0.945,1.68,,7,3 4 5 6 7 8 17
Oc1ccc(N2CCN(c3ccc(F)cc3)CC2)cc1,O=C(CCc1ccccc1)N1CCN(c2ccc(F)cc2)CC1,evolved,0.414,0.91,1.66,,7,0 1 2 3 4 18 19
O=C(Cc1ccccc1)N1CCN(c2ccccc2)CC1,O=C(CCc1ccccc1)N1CCN(c2ccc(F)cc2)CC1,evolved,0.453,0.863,1.52,,6,3 4 5 6 7 8
COc1ccc(N2CCN(C(=O)Cc3ccccc3)CC2)cc1,O=C(CCc1ccccc1)N1CCN(c2ccc(F)cc2)CC1,evolved,0.437,0.87,1.61,,8,0 1 13 14 15 16 17 18
Fc1ccc(N2CCN(Cc3ccccc3)CC2)cc1,O=C(CCc1ccccc1)N1CCN(c2ccc(F)cc2)CC1,evolved,0.484,0.845,1.48,,6,10 11 12 13 14 15
O=C(Cc1ccccc1)[C@@H]1CNCC[C@@H]1c1ccccc1,CCOC(=O)[C@@H]1CNCC[C@@H]1c1ccccc1,evolved,0.523,0.931,2.73,,7,2 3 4 5 6 7 8
O=C(c1ccccc1)[C@@H]1CNCC[C@@H]1c1ccccc1,CCOC(=O)[C@@H]1CNCC[C@@H]1c1ccccc1,evolved,0.541,0.863,2.67,,6,2 3 4 5 6 7
c1ccc([C@H]2CCNC[C@H]2c2ccccc2)cc1,CCOC(=O)[C@@H]1CNCC[C@@H]1c1ccccc1,evolved,0.407,0.842,2.58,,6,10 11 12 13 14 15
COCC1(C)CCC2C(CCC3CC(OC=O)CCC32C)C1(C)O,CC12CCC(OC=O)CC1CCC1C2CCC2(C)[C@@H](C3=CC(=O)OC3)C(OC=O)CC12O,evolved,0.412,0.796,4.67,,4,0 1 4 22
CCC1(C)CCC2C(CCC3CC(OC=O)CCC32C)C1(C)O,CC12CCC(OC=O)CC1CCC1C2CCC2(C)[C@@H](C3=CC(=O)OC3)C(OC=O)CC12O,evolved,0.421,0.787,4.6,,3,0 3 21
CC12CCC(OC=O)CC1CCC1C2CCC(C)(Cc2ccccc2)C1(C)O,CC12CCC(OC=O)CC1CCC1C2CCC2(C)[C@@H](C3=CC(=O)OC3)C(OC=O)CC12O,evolved,0.4,0.73,4.34,,8,18 19 20 21 22 23 24 26
NC(=O)CCc1ccccc1-c1ccccc1,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.521,0.854,1.56,,3,0 1 2
NC(=O)Cc1ccccc1-c1ccccc1,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.707,0.832,1.54,,1,0
OCCCc1ccccc1-c1ccccc1,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.5,0.824,1.53,,2,0 1
O=C(O)Cc1ccccc1-c1ccccc1C(=O)Cl,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.46,0.87,1.95,,3,16 17 18
OCCc1ccccc1-c1ccccc1,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.535,0.804,1.5,,0,
NCCc1ccccc1-c1ccccc1,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.489,0.804,1.5,,1,0
OCc1ccccc1-c1ccccc1,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.575,0.76,1.38,,1,0
CCCc1ccccc1-c1ccccc1,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.489,0.686,1.38,,1,0
CCc1ccccc1-c1ccccc1,O=C(O)Cc1ccccc1-c1ccccc1,evolved,0.561,0.66,1.29,,0,
Cc1ccc(C(=O)NC(Cc2ccc(O)cc2)C(=O)O)cc1,O=C(NC(Cc1ccc(O)cc1)C(=O)O)C(CS)Cc1ccccc1,evolved,0.426,0.789,2.08,,7,0 1 2 3 4 20 21
O=C(NC(Cc1ccc(O)cc1)C(=O)O)c1ccccc1,O=C(NC(Cc1ccc(O)cc1)C(=O)O)C(CS)Cc1ccccc1,evolved,0.516,0.782,2.03,,6,15 16 17 18 19 20
CNCc1cc2c(Sc3ccc(C)cc3)cncc2s1,CON(C)C(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,evolved,0.474,0.769,2.56,,0,
COc1cncc2sc(C(=O)N(C)c3ccc(C)cc3)cc12,CON(C)C(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,evolved,0.4,0.737,2.35,,9,0 1 13 14 15 16 17 18 19
Cc1ccc(Sc2cncc3sc(-c4ccc(F)cc4)cc23)cc1,CON(C)C(=O)c1cc2c(Sc3ccc(C)cc3)cncc2s1,evolved,0.475,0.414,2.33,,7,13 14 15 16 17 18 19
CCCn1cnc2c(NC)nc(I)nc21,CNc1nc(I)nc2c1ncn2CC(CP(=O)(O)O)CP(=O)(O)O,evolved,0.516,0.694,2.79,,0,
CNc1nc(I)nc2c1ncn2CCc1ccccc1,CNc1nc(I)nc2c1ncn2CC(CP(=O)(O)O)CP(=O)(O)O,evolved,0.44,0.56,2.43,,6,14 15 16 17 18 19
O[C@H](c1ccccc1)[C@H]1CCCCN1CCc1ccccc1,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1CCCc1ccccc1,evolved,0.456,0.906,2.63,,7,0 16 17 18 19 20 21
c1ccc(CCCN2CCCC[C@@H]2NCc2ccccc2)cc1,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1CCCc1ccccc1,evolved,0.415,0.824,2.44,,8,13 14 15 16 17 18 19 20
c1ccc(CCCN2CCCC[C@@H]2c2ccccc2)cc1,COC(=O)[C@H](c1ccccc1)[C@H]1CCCCN1CCCc1ccccc1,evolved,0.418,0.756,2.13,,6,13 14 15 16 17 18
CCOc1ccc(OCCO)c(Br)c1,COC(=O)C(C)(C)CCCOc1ccc(OCCCC(C)(C)C(=O)OC)c(Br)c1,evolved,0.419,0.883,1.82,,1,10
CCCCOc1ccc(OC)c(Br)c1,COC(=O)C(C)(C)CCCOc1ccc(OCCCC(C)(C)C(=O)OC)c(Br)c1,evolved,0.424,0.751,1.63,,0,
OCCc1cccc(OCc2ccccn2)c1,CCCCCC(O)c1cccc(OCc2ccccn2)c1,evolved,0.443,0.854,1.79,,1,0
Oc1cccc(OCc2ccccn2)c1,CCCCCC(O)c1cccc(OCc2ccccn2)c1,evolved,0.484,0.828,1.74,,1,0
Clc1cccc(OCc2ccccn2)c1,CCCCCC(O)c1cccc(OCc2ccccn2)c1,evolved,0.455,0.79,1.62,,1,0
COc1cc(C)cc(OC)c1OC(=O)C(C)C,COc1cc(C)cc(OC)c1OC(=O)C(CCSC)N1CCCC1,evolved,0.443,0.597,1.95,,1,16
COC(=O)C1=C(C)NC(CCO)=C(C)[C@H]1c1ccccc1Cl,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,evolved,0.436,0.837,3.0,,2,10 11
CCOCC1=C(C)[C@@H](c2ccccc2Cl)C(C(=O)OC)=C(C)N1,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,evolved,0.484,0.832,2.97,,0,
CCOC(=O)C1=C(COc2ccccc2)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl.O=S(=O)(O)c1ccccc1,evolved,0.637,0.643,2.72,,6,9 10 11 12 13 14
OCC1(N2CCN(Cc3ccccc3)CC2)CCCCC1,CCC(=O)N(CC1(N2CCN(Cc3ccccc3)CC2)CCCCC1)c1ccccc1,evolved,0.522,0.922,2.17,,1,0
O=C(N1CCN(Cc2ccccc2)CC1)N(CO)c1ccccc1,CCC(=O)N(CC1(N2CCN(Cc3ccccc3)CC2)CCCCC1)c1ccccc1,evolved,0.429,0.878,2.04,,11,0 1 15 16 17 18 19 20 21 22 23
CCC(=O)N1CCN(Cc2ccccc2)CC1,CCC(=O)N(CC1(N2CCN(Cc3ccccc3)CC2)CCCCC1)c1ccccc1,evolved,0.403,0.792,1.55,,4,0 1 2 3
COc1ccc2ccc3oc(O)cc3c2c1OC,COc1ccc2ccc3oc([N+](=O)[O-])cc3c2c1OC,evolved,0.557,0.751,2.39,,1,11
COc1ccc2ccc3oc(C)cc3c2c1OC,COc1ccc2ccc3oc([N+](=O)[O-])cc3c2c1OC,evolved,0.567,0.682,2.14,,1,11
COc1ccc2ccc3oc(-c4ccccc4)cc3c2c1OC,COc1ccc2ccc3oc([N+](=O)[O-])cc3c2c1OC,evolved,0.5,0.516,2.03,,6,11 12 13 14 15 16
CCCCc1ccc2nc(O)oc2c1,Oc1nc2ccc(Cc3ccc(F)cc3)cc2o1,evolved,0.492,0.811,2.29,,3,0 1 2
Cc1nc2ccc(Cc3ccc(CO)cc3)cc2o1,Oc1nc2ccc(Cc3ccc(F)cc3)cc2o1,evolved,0.429,0.779,2.04,,3,0 12 13
Oc1nc2ccc(CCc3ccc(F)cc3)cc2o1,Oc1nc2ccc(Cc3ccc(F)cc3)cc2o1,evolved,0.643,0.781,2.15,,8,8 9 10 11 12 13 14 15
Oc1nc2ccc(CCCF)cc2o1,Oc1nc2ccc(Cc3ccc(F)cc3)cc2o1,evolved,0.526,0.818,2.63,,3,8 9 10
Cc1nc2ccc(Cc3ccc(F)cc3)cc2o1,Oc1nc2ccc(Cc3ccc(F)cc3)cc2o1,evolved,0.607,0.68,1.96,,1,0
c1ccc(Cc2ccc3nc(-c4ccccc4)oc3c2)cc1,Oc1nc2ccc(Cc3ccc(F)cc3)cc2o1,evolved,0.403,0.524,1.75,,6,11 12 13 14 15 16
CCc1ccc(-c2ccccc2C(=O)O)cc1,CCCc1nc(CC)c(C(=O)O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,evolved,0.5,0.868,1.44,,1,0
O=C(O)Cc1ccc(-c2ccccc2C(=O)O)cc1,CCCc1nc(CC)c(C(=O)O)n1Cc1ccc(-c2ccccc2C(=O)O)cc1,evolved,0.431,0.881,1.58,,3,0 1 2
O=S(=O)(Nc1cnc(Cl)cn1)c1ccccc1,CN(C)c1cccc2c(S(=O)(=O)Nc3cnc(Cl)cn3)cccc12,evolved,0.406,0.924,2.08,,0,
CCCCc1nc2cc(Cl)ccc2c2cc(C(=O)O)nn12,O=C(O)c1cc2c3ccc(Cl)cc3nc(O)n2n1,evolved,0.549,0.8,2.42,,4,0 1 2 3
Cc1nc2cc(Cl)ccc2c2cc(C(=O)O)nn12,O=C(O)c1cc2c3ccc(Cl)cc3nc(O)n2n1,evolved,0.629,0.731,2.39,,1,0
O=C(O)c1cc2c3ccc(Cl)cc3nc(-c3ccccc3)n2n1,O=C(O)c1cc2c3ccc(Cl)cc3nc(O)n2n1,evolved,0.565,0.607,2.23,,6,15 16 17 18 19 20
CCCCc1ccccc1[N+](=O)[O-],CC[N+](C)(CC)Cc1ccccc1[N+](=O)[O-].[Cl-],evolved,0.5,0.526,1.69,,3,0 1 2
CC[N+](C)(C)Cc1ccccc1[N+](=O)CCO,CC[N+](C)(CC)Cc1ccccc1[N+](=O)[O-].[Cl-],evolved,0.421,0.605,3.22,,3,14 15 16
Fc1ccc(CN2CCN(Cc3ccncc3)CC2)cc1,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,evolved,0.441,0.86,1.71,,2,0 19
c1ccc(CN2CCN(Cc3ccncc3)CC2)cc1,c1cc(CN2CCN(CC3CCCCN3)CC2)ccn1,evolved,0.456,0.848,1.62,,1,18
CCc1nnc(/C=C/c2cc(C)c(O)c(C(C)(C)C)c2)o1,CC(C)(C)c1cc(/C=C/c2nnc(N)o2)cc(C(C)(C)C)c1O,evolved,0.484,0.922,2.73,,2,0 1
CCc1cc(/C=C/c2nnc(N)o2)cc(C(C)(C)C)c1C,CC(C)(C)c1cc(/C=C/c2nnc(N)o2)cc(C(C)(C)C)c1O,evolved,0.567,0.926,2.93,,1,20
CCc1cc(/C=C/c2nnc(N)o2)cc(-c2ccccc2)c1O,CC(C)(C)c1cc(/C=C/c2nnc(N)o2)cc(C(C)(C)C)c1O,evolved,0.443,0.766,2.62,,6,15 16 17 18 19 20
Cc1ccc(-c2ccc(CCCC3(C)CO3)cc2)cc1,CCOC(=O)C1(CCCc2ccc(C)cc2)CO1,evolved,0.41,0.71,2.36,,7,0 1 2 3 4 18 19
CC(=O)OCCCc1ccc(C)cc1,CCOC(=O)C1(CCCc2ccc(C)cc2)CO1,evolved,0.446,0.541,1.55,,4,0 1 2 3
O=S1(=O)c2cc(Cl)c(Cl)cc2NCN1CCc1ccccc1,NCCN1CNc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,evolved,0.408,0.913,2.69,,7,6 16 17 18 19 20 21
COCCN1CNc2cc(Cl)c(Cl)cc2S1(=O)=O,NCCN1CNc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,evolved,0.443,0.928,3.07,,3,0 1 12
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2c1ccccc1,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,evolved,0.595,0.911,3.32,,6,19 20 21 22 23 24
CN1CC[C@@]2(C)c3cc(CC(=O)Cc4ccccc4)ccc3N(C)[C@@H]12,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,evolved,0.452,0.856,3.19,,10,9 10 11 12 13 14 15 16 17 18
CN1CC[C@@]2(C)c3cc(Cc4ccccc4)ccc3N(C)[C@@H]12,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,evolved,0.456,0.833,3.07,,7,9 10 11 12 13 14 15
CCOc1ccc(/C(=C(/CC)CO)c2ccccc2)cc1,CC/C(Cc1ccccc1)=C(\c1ccccc1)c1ccc(OCN(C)C)cc1,evolved,0.484,0.856,2.1,,2,0 12
CCOc1ccc(/C(C)=C(/CC)Cc2ccccc2)cc1,CC/C(Cc1ccccc1)=C(\c1ccccc1)c1ccc(OCN(C)C)cc1,evolved,0.441,0.677,2.05,,2,0 8
c1ccc(Cc2ccc(OCCC3CSC3)cc2)cc1,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCC4CSC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,evolved,0.407,0.777,1.97,,0,
COc1ccc(Cc2cc([C@@H]3O[C@H](CF)[C@@H](O)[C@H](C)[C@H]3O)ccc2Cl)cc1,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(OCCC4CSC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,evolved,0.434,0.811,3.67,,2,14 18
CCO[C@@H]1C=C(C(=O)O)C[C@H](N=C(C)Cc2ccccc2)[C@H]1NC(C)=O,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N=C(C)N)[C@H]1NC(C)=O,evolved,0.429,0.733,3.79,,7,14 15 16 17 18 19 20
CCO[C@@H]1C=C(C(=O)O)C[C@H](N=C(C)N)[C@H]1NC(=O)c1ccccc1,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N=C(C)N)[C@H]1NC(C)=O,evolved,0.494,0.532,3.71,,6,19 20 21 22 23 24
CC(=O)COc1cccc(-c2cc(=O)c3ccc(O)cc3o2)c1,O=c1cc(-c2ccc(O)cc2O)oc2cc(O)ccc12,evolved,0.408,0.801,2.21,,5,0 1 2 3 4
COc1cccc(-c2cc(=O)c3ccc(O)cc3o2)c1,O=c1cc(-c2ccc(O)cc2O)oc2cc(O)ccc12,evolved,0.456,0.775,1.99,,2,0 1
O=c1cc(-c2ccccc2)oc2cc(O)ccc12,O=c1cc(-c2ccc(O)cc2O)oc2cc(O)ccc12,evolved,0.525,0.708,1.87,,0,
CC(=O)[C@@H](c1ccc(-c2ccccc2)cc1)[C@@H]1CCCCN1,COC(=O)[C@@H](c1ccc(Br)cc1)[C@@H]1CCCCN1.Cl,evolved,0.414,0.916,2.85,,7,0 8 9 10 11 12 13
CSc1ccc2c(c1)C(c1ccccc1)=NC(C)C(=O)N2,O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2)=NC1F,evolved,0.4,0.861,2.87,,3,0 1 17
CO[N+](=O)c1ccc2c(c1)C(c1ccccc1)=NC(C)C(=O)N2,O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2)=NC1F,evolved,0.481,0.886,3.32,,2,0 19
CC1N=C(c2ccccc2)c2cc(S[O-])ccc2NC1=O,O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2)=NC1F,evolved,0.4,0.866,3.31,,3,0 13 14
O=C1Nc2ccc(-c3ccccc3)cc2C(c2ccccc2)=NC1c1ccc([N+](=O)[O-])cc1,O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2)=NC1F,evolved,0.459,0.326,2.84,,15,7 8 9 10 11 12 24 25 26 27 28 29 30 31 32
O=C(c1ccccc1)C1C2CCC(CC1c1ccccc1)N2,COC(=O)C1C2CCC(CC1c1cccc(I)c1)N2,evolved,0.403,0.872,3.95,,6,2 3 4 5 6 7
CC(C)C(=O)C1C2CCC(CC1c1ccccc1)N2,COC(=O)C1C2CCC(CC1c1cccc(I)c1)N2,evolved,0.427,0.901,4.29,,3,0 1 2
CCC(=O)C1C2CCC(CC1c1ccccc1)N2,COC(=O)C1C2CCC(CC1c1cccc(I)c1)N2,evolved,0.432,0.884,4.22,,2,0 1
COC(=O)C1C(c2ccccc2)CCCCC1c1cccc(I)c1,COC(=O)C1C2CCC(CC1c1cccc(I)c1)N2,evolved,0.447,0.361,3.17,,6,6 7 8 9 10 11
CCN(CC)C1CCCCC(c2cccc(I)c2)C1C(=O)OC,COC(=O)C1C2CCC(CC1c1cccc(I)c1)N2,evolved,0.43,0.394,3.54,,5,0 1 2 3 4
COC(Cn1cnnc1)(C(=O)c1ccc(F)cc1)c1ccccc1F,O=C(c1ccc(F)cc1)C(O)(Cn1cnnc1)c1ccccc1Cl,evolved,0.462,0.646,3.26,,2,0 24
CNc1ccccc1C(Cn1cnnc1)(C(=O)c1ccc(F)cc1)c1ccccc1NC,O=C(c1ccc(F)cc1)C(O)(Cn1cnnc1)c1ccccc1Cl,evolved,0.462,0.407,2.92,,10,0 1 24 25 26 27 28 29 30 31
COC(Cn1cnnc1)(C(=O)c1ccc(F)cc1)c1ccccc1-c1ccccc1,O=C(c1ccc(F)cc1)C(O)(Cn1cnnc1)c1ccccc1Cl,evolved,0.414,0.428,3.13,,7,0 24 25 26 27 28 29
CCCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,CC1CCC(N(C)C(=O)CN2C(=O)NC(c3ccccc3)(c3ccccc3)C2=O)CC1,evolved,0.441,0.881,2.09,,1,0
Cc1ccccc1CC1CCc2nc(N(C)C)nc(N)c2C1,Cc1ccccc1CC1CCc2nc(N)nc(N)c2C1,evolved,0.691,0.946,3.02,,2,15 16
Cc1ccccc1CC1CCc2nc(-c3ccccc3)nc(C)c2C1,Cc1ccccc1CC1CCc2nc(N)nc(N)c2C1,evolved,0.519,0.668,2.7,,7,14 15 16 17 18 19 22
COc1cc(C(=O)O)ccc1COc1ccccc1C,CCCc1c(OCc2ccc(C(=O)O)cc2OC)ccc(C(C)=O)c1O,evolved,0.474,0.907,1.67,,0,
CCc1ccc(C(=O)O)cc1OC,CCCc1c(OCc2ccc(C(=O)O)cc2OC)ccc(C(C)=O)c1O,evolved,0.418,0.773,1.59,,1,0
COC1(C)C(C)CC2C3C(C(C)=O)CC4=CC(=O)C=CC4(C)C3C(O)CC21C,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C,evolved,0.402,0.785,5.02,,3,10 11 12
O=C(O)C1CCn2c(Cc3ccc(F)cc3)ccc21,O=C(c1ccc(F)cc1)c1ccc2n1CCC2C(=O)O,evolved,0.435,0.921,2.87,,0,
O=C(O)C1CCn2c(-c3ccc(F)cc3)ccc21,O=C(c1ccc(F)cc1)c1ccc2n1CCC2C(=O)O,evolved,0.462,0.884,2.78,,7,8 9 10 11 12 13 14
O=C(c1ccccc1)c1ccc2n1CCC2c1ccc(F)cc1,O=C(c1ccc(F)cc1)c1ccc2n1CCC2C(=O)O,evolved,0.478,0.658,2.68,,7,16 17 18 19 20 21 22
CCOC(=O)C1(c2ccccc2)CCCN(CC(=O)O)C1,CCOC(=O)C1(c2ccccc2)CCCN(C)C1.Cl,evolved,0.619,0.836,2.7,,3,17 18 19
CCOC(=O)C1(c2ccccc2)CCCN(c2ccccc2)C1,CCOC(=O)C1(c2ccccc2)CCCN(C)C1.Cl,evolved,0.609,0.805,2.54,,6,16 17 18 19 20 21
CCOC(=O)C1(c2ccccc2)CCCN(Cc2ccccc2)C1,CCOC(=O)C1(c2ccccc2)CCCN(C)C1.Cl,evolved,0.582,0.784,2.48,,6,17 18 19 20 21 22
CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(OCCO)C[C@@]21C,CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C[C@@]21C,evolved,0.608,0.815,4.39,,3,21 22 23
COC1C[C@@]2(N)C(CC[C@@H]2C(C)=O)C2CCC3=CC(=O)CC[C@]3(C)C12,CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C[C@@]21C,evolved,0.466,0.835,4.67,,2,0 5
CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(OCCC(=O)c3ccccc3)C[C@@]21C,CC(=O)[C@H]1CCC2C3CCC4=CC(=O)CC[C@]4(C)C3C(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)C[C@@]21C,evolved,0.532,0.487,4.27,,10,21 22 23 24 25 26 27 28 29 30
CCC1Nc2cc(Cl)c(Cl)cc2S(=O)(=O)N1,CC(C)CC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,evolved,0.409,0.831,3.58,,1,9
CCC1Nc2cc(-c3ccccc3)c(S(N)(=O)=O)cc2S(=O)(=O)N1,CC(C)CC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,evolved,0.41,0.758,3.33,,6,7 8 9 10 11 12
C[C@]1(O)C(=CI)CC[C@@H]2[C@@H]1CC[C@]1(C)C(=O)CC[C@@H]21,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,evolved,0.414,0.654,4.42,,3,2 4 5
CC[C@@]1(C)C(=CI)CC[C@@H]2[C@@H]1CC[C@]1(C)C(=O)CC[C@@H]21,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,evolved,0.403,0.542,4.39,,4,0 3 5 6
